Description,Code,Selling,Buying_TT,Buting_Notes,Scrape_time,Buying_Notes
Euro,EUR,27.964628,27.350819,27.350819,2025-10-07,
Pound Sterling,GBP,32.193624,31.480307,31.480307,2025-10-07,
US Dollar,USD,23.94,23.5104,23.5104,2025-10-07,
Australian Dollar,AUD,15.96912,15.399644,15.305934,2025-10-07,
Botswana Pula,BWP,1.727243,1.6311,1.621175,2025-10-07,
Canadian Dollar,CAD,17.366836,16.748997,16.647076,2025-10-07,
Swiss Franc,CHF,30.357143,29.268788,29.090681,2025-10-07,
Danish Kroner,DKK,3.782024,3.648032,3.625833,2025-10-07,
Indian Rupee,INR,0.272989,0.263289,0.261687,2025-10-07,
Japanese Yen,JPY,0.15891,0.155384,0.155384,2025-10-07,
Namibia Dollar,NAD,1.408717,1.358664,1.350396,2025-10-07,
Norwegian Krone,NOK,2.433157,2.346535,2.332256,2025-10-07,
New Zealand Dollar,NZD,14.07957,13.494306,13.494306,2025-10-07,
Swedish Krona,SEK,2.578774,2.483865,2.46875,2025-10-07,
South African Rand,ZAR,1.395028,1.36393,1.36393,2025-10-07,
Euro,EUR,27.964628,27.350819,,2025-10-08,27.350819
Pound Sterling,GBP,32.193624,31.480307,,2025-10-08,31.480307
US Dollar,USD,23.940000,23.510400,,2025-10-08,23.510400
Australian Dollar,AUD,15.969120,15.399644,,2025-10-08,15.305934
Botswana Pula,BWP,1.727243,1.631100,,2025-10-08,1.621175
Canadian Dollar,CAD,17.366836,16.748997,,2025-10-08,16.647076
Swiss Franc,CHF,30.357143,29.268788,,2025-10-08,29.090681
Danish Kroner,DKK,3.782024,3.648032,,2025-10-08,3.625833
Indian Rupee,INR,0.272989,0.263289,,2025-10-08,0.261687
Japanese Yen,JPY,0.158910,0.155384,,2025-10-08,0.155384
Namibia Dollar,NAD,1.408717,1.358664,,2025-10-08,1.350396
Norwegian Krone,NOK,2.433157,2.346535,,2025-10-08,2.332256
New Zealand Dollar,NZD,14.079570,13.494306,,2025-10-08,13.494306
Swedish Krona,SEK,2.578774,2.483865,,2025-10-08,2.468750
South African Rand,ZAR,1.395028,1.363930,,2025-10-08,1.363930
